id,city,name,latitude,longitude,pickup_phone,pickup_time
407,Кам'янське,"бульв. Будівельників, 19Б-1",48.600083,34.571139,380675033020,ПН - НД 9:00 - 19:00
393,Ладижин,"вул. Будівельників, 22",48.686111,29.23568,380674213756,ПН - НД 8:00 - 21:00
2639,Кам'янське,"бульв. Будівельників, 24-А",48.599393,34.573646,380674757336,ПН - НД 8:00 - 21:00
2614,Українка,"вул. Будівельників, 6",50.153954,30.740427,380674591889,ПН - НД 8:00 - 21:00
376,Вараш,"м-р Будівельників, 71-А",51.34375,25.85168,380979573919,ПН - НД 8:00 - 21:00
3088,Кам'янське,"бульв. Будівельників, 8-Г",48.59761,34.570541,380972283661,ПН - НД 8:00 - 20:00
3251,Київ,вул. Булаховського Академіка 3-А (2 поверх),50.468916763689045,30.33665149673427,,ПН - НД 8:00 - 21:00
122,Шостка,"вул. Бульварна, 1",51.883823,33.523815,380671155969,ПН - НД 8:00 - 19:00
858,Слов'янськ,"вул. Бульварна, 1",48.855561,37.564579,380675263941,ПН - НД 7:00 - 20:00
2339,Золочів,"вул. В. Бродівська, 2-А",49.80785,24.905013,380978304391,ПН - НД 8:00 - 21:00
2787,Крижанівка,"вул. В. Бувалкіна, 50",46.583577,30.80862,380676182269,ПН - НД 9:00 - 21:00
825,Борислав,"вул. В. Великого, 171",49.293505,23.438766,380671762911,ПН - НД 9:00 - 21:00
2952,Буча,"вул. В. Вернадського (Островського), 18-А",50.54973109,30.21693588,380978293015,ПН - НД 8:00 - 21:00
2789,Київ,"пр-т В. Івасюка, 27",50.509443,30.506368,380671106436,ПН - НД 9:00 - 21:00
2130,Київ,"пр-т В. Івасюка, 46-Д",50.520327,30.515306,380671996174,ПН - НД 8:00 - 21:00
27,Заліщики,"вул. В. Стефаника, 26-А/4",48.643193,25.739343,380671712517,ПН - НД 8:00 - 20:00
2208,Ходорів,"вул. В. Стуса, 13-А",49.399006,24.310994,380671217571,ПН - НД 8:00 - 21:00
2833,Червоноград,"вул. В. Стуса, 22",50.39628,24.24544,380671061296,ПН - НД 9:00 - 21:00
2102,Івано-Франківськ," вул. В. Стуса, 28",48.934834,24.745603,380676941766,ПН - НД 9:00 - 21:00
2669,Трускавець,"вул. В. Стуса, 4",49.279212,23.519419,380972584500,ПН - НД 9:00 - 21:00
3228,Сокиряни,вул. В. Чорновола 1-А (прим. 101),48.445753,27.412837,0970005864,ПН - НД 8:00 - 21:00
2879,Черкаси,вул. В. Чорновола 53 (2 поверх),49.426635525995586,32.0806670972467,0970006294,ПН - НД 8:00 - 21:00
632,Березне,"вул. В. Чорновола, 1",51.00121,26.745749,380677004377,ПН - НД 8:00 - 20:00
937,Коломия,"вул. В. Чорновола, 26/6 та 26/5",48.527651,25.039948,380671769040,ПН - НД 8:00 - 21:00
942,Вижниця,"вул. В. Чорновола, 3-Г",48.248357,25.184122,380672671866,ПН - НД 8:00 - 20:00
2916,Львів,"вул. В.Великого, 34",49.8111,23.99248,380679385180,ПН - НД 9:00 - 21:00
2340,Львів,"вул. В.Великого, 35-А",49.80962,24.0052,380979587462,ПН - НД 8:00 - 21:00
2765,Чернігів,"вул. В'ячеслава Чорновола, 9-Б",51.501267,31.281701,380972021091,ПН - НД 8:00 - 21:00
2939,Хмільник,"вул. В'ячеслава Чорновола, 12",49.55904,27.956019,380673909386,ПН - НД 8:00 - 21:00
2596,Львів,"просп. В‘ячеслава Чорновола, 103",49.86595598477664,24.015656745184568,380671298920,ПН - НД 8:00 - 21:00
2951,Львів,"просп. В‘ячеслава Чорновола, 2-Б",49.846587730655386,24.025827068368855,380974094781,ПН - НД 8:00 - 21:00
2683,Краматорськ,"вул. Валентина Шеймана, 1",48.74590808869282,37.595747726105984,380970003120,ПН - НД 7:00 - 20:00
2134,Харків,"вул. Валентинівська, 23",50.01544,36.334689,380672002356,ПН - НД 8:00 - 21:00
3040,Хотянівка,"пров. Валовий, 18",50.595958,30.570941,380970001673,ПН - НД 9:00 - 21:00
426,Кропивницький,"вул. Варшавська, 2-М",48.529763,32.273184,380675301729,ПН - НД 8:00 - 21:00
